species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
Eucalyptus chlorophylla,73.0,11.0,51.77304964539007,73.33333333333333,53.84615384615385,amg10,32,20120622,0.1,7.0,POINT (134.1876887644216 -16.41557846738749),134.1876887644216,-16.41557846738749,7.0,20.142857142857142,2.142857142857143,22.285714285714285,2.0142857142857142,0.2142857142857143,2.2285714285714286
Eucalyptus pruinosa,23.0,0.0,16.312056737588655,0.0,14.743589743589745,amg10,32,20120622,0.1,7.0,POINT (134.1876887644216 -16.41557846738749),134.1876887644216,-16.41557846738749,7.0,20.142857142857142,2.142857142857143,22.285714285714285,2.0142857142857142,0.2142857142857143,2.2285714285714286
Macropteranthes kekwickii,2.0,0.0,1.4184397163120568,0.0,1.282051282051282,amg10,32,20120622,0.1,7.0,POINT (134.1876887644216 -16.41557846738749),134.1876887644216,-16.41557846738749,7.0,20.142857142857142,2.142857142857143,22.285714285714285,2.0142857142857142,0.2142857142857143,2.2285714285714286
Terminalia canescens,6.0,0.0,4.25531914893617,0.0,3.8461538461538463,amg10,32,20120622,0.1,7.0,POINT (134.1876887644216 -16.41557846738749),134.1876887644216,-16.41557846738749,7.0,20.142857142857142,2.142857142857143,22.285714285714285,2.0142857142857142,0.2142857142857143,2.2285714285714286
dead,3.0,0.0,2.127659574468085,0.0,1.9230769230769231,amg10,32,20120622,0.1,7.0,POINT (134.1876887644216 -16.41557846738749),134.1876887644216,-16.41557846738749,7.0,20.142857142857142,2.142857142857143,22.285714285714285,2.0142857142857142,0.2142857142857143,2.2285714285714286
Eucalyptus microtheca,12.0,0.0,100.0,,100.0,ant05,37,20120625,0.0,7.0,POINT (135.0975250722216 -18.26046937743887),135.0975250722216,-18.26046937743887,,,,,,,
Eucalyptus microtheca,36.0,0.0,100.0,,100.0,ant03,39,20120624,0.1,7.0,POINT (135.058012624136 -18.24022133701147),135.058012624136,-18.240221337011473,7.0,5.142857142857143,0.0,5.142857142857143,0.5142857142857143,0.0,0.5142857142857143
Excoecaria parvifolia,38.0,3.0,100.0,100.0,100.0,barkely07,48,20111027,0.25,7.0,POINT (135.609309515743 -18.08531564548007),135.60930951574304,-18.08531564548007,7.0,5.428571428571429,0.42857142857142855,5.857142857142857,1.3571428571428572,0.10714285714285714,1.4642857142857142
Acacia stenophylla,10.0,2.0,6.0606060606060606,9.523809523809524,6.451612903225806,nc01,88,20130414,0.25,7.0,POINT (132.6864534999178 -23.14929813110095),132.6864534999178,-23.149298131100952,7.0,23.571428571428573,3.0,26.571428571428573,5.892857142857143,0.75,6.642857142857143
Eucalyptus microtheca,95.0,9.0,57.57575757575758,42.857142857142854,55.91397849462365,nc01,88,20130414,0.25,7.0,POINT (132.6864534999178 -23.14929813110095),132.6864534999178,-23.149298131100952,7.0,23.571428571428573,3.0,26.571428571428573,5.892857142857143,0.75,6.642857142857143
