uid,site,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
14,NTAGFU0009,20120421,136.9834,-18.80098,65.80783333333353,71.55905555555576,279.59672222222304,909.6115000000026,689.7702777777798,1189.2082222222257,399.8454444444457,1947.5866666666723,140.0166666666671,146.03888888888932,570.6055555555572,1856.3500000000054,1407.6944444444487,2426.9555555555626,816.0111111111137,3974.6666666666783
15,NTAGFU0010,20120509,137.1006,-17.89628,43.71,47.53,185.71,604.17,458.15,789.88,265.58,1293.6,93.0,97.0,379.0,1233.0,935.0,1612.0,542.0,2640.0
16,NTAGFU0011,20120510,137.0724,-17.89571,85.85372500000001,93.35684166666668,364.76539166666674,1186.6905750000003,899.8829583333334,1551.4559666666669,521.6433833333333,2540.846,182.66750000000005,190.5241666666667,744.4191666666668,2421.8175000000006,1836.4958333333334,3166.236666666667,1064.5783333333334,5185.400000000001
17,NTAGFU0012,20120511,137.019,-17.89564,60.70833333333338,66.01388888888893,257.9305555555557,839.1250000000007,636.3194444444449,1097.0555555555563,368.8611111111114,1796.6666666666679,129.16666666666677,134.7222222222223,526.3888888888893,1712.5000000000014,1298.611111111112,2238.8888888888905,752.7777777777784,3666.6666666666692
18,NTAGFU0013,20120512,137.0116,-17.89591,79.64933333333323,86.6102222222221,338.4048888888885,1100.9319999999987,834.8511111111101,1439.3368888888872,483.94577777777727,2357.2266666666637,169.46666666666647,176.75555555555533,690.6222222222214,2246.7999999999975,1703.7777777777758,2937.422222222219,987.6444444444434,4810.666666666661
19,NTAGFU0014,20120514,136.9389,-17.75179,88.14849999999997,95.85216666666663,374.5151666666665,1218.4094999999995,923.9358333333331,1592.924666666666,535.5863333333331,2608.759999999999,187.54999999999995,195.6166666666666,764.3166666666664,2486.5499999999993,1885.5833333333328,3250.8666666666654,1093.0333333333328,5323.999999999998
20,NTAGFU0015,20120514,136.943,-17.74446,64.90935,70.58205000000001,275.77935,897.19245,680.3527499999999,1172.9718,394.3863,1920.996,138.10500000000002,144.04500000000002,562.815,1831.005,1388.475,2393.82,804.87,3920.4
21,NTAGFU0016,20120516,137.2603,-17.22089,103.02903571428574,111.9644166666667,412.7561666666668,1314.0907500000003,998.9530833333336,1726.8469166666669,586.8053333333336,2833.2132500000007,219.21071428571435,228.49880952380957,842.359523809524,2681.817857142858,2038.6797619047625,3524.1773809523816,1197.5619047619052,5782.067857142859
22,NTAGFU0017,20120517,137.158,-17.3549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,NTAGFU0018,20120518,137.1834,-17.27249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,NTAGFU0019,20120518,137.2363,-17.21774,87.22886666666663,94.79104444444442,348.4019777777777,1107.9193999999998,842.3372222222221,1456.3213777777776,495.15915555555546,2389.5993333333327,185.59333333333328,193.45111111111106,711.0244444444443,2261.0599999999995,1719.0555555555552,2972.084444444444,1010.5288888888887,4876.733333333332
