uid,site,date,zone,easting,northing,lattitude,longitude,datum,factor,count,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11
,ALN18a,30/04/2015 11:07,53,133.45869,-22.56697,,,,0.1,7,Hakea macrocarpa,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,2,0,Hakea macrocarpa,1,0,Corymbia opaca,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,5,0,Corymbia opaca,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,6,0,Corymbia opaca,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,1,2,Corymbia opaca,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALN19a,1/05/2015 8:43,52,133.43358,-22.69009,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aln20a,1/05/2015 10:38,53,133.3953,-22.71684,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,1,0,Grevillea striata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,22,0,Grevillea striata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,9,0,Grevillea striata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amb19a,16/07/2015 9:11,53,133.1482374,-23.10330919,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA14A,10/06/2015 14:26,52,534772,8004605,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA15A,11/06/2015 8:51,52,543458,8001158,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA16a,11/06/2015 15:32,53,553566,8025776,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA17a,12/06/2015 9:23,53,560259,8029189,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA18a,12/06/2015 14:11,53,551655,8036064,,,,0.1,7,Tree,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA19A,13/06/2015 10:04,53,545287,8030264,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA20a,13/06/2015 14:49,52,534220,8025566,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDA21a,14/06/2015 11:11,52,560419,7993833,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIB06A,3/07/2015 14:37,53,196911,8182639,,,,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIB07A,4/07/2015 15:31,53,206403,8204058,,,,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIB08A,5/07/2015 9:32,53,193789,8210633,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIB09A,5/07/2015 15:03,53,211336,8192715,,,,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLR07A,23/07/2015 10:08,52,587138,8291038,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLR08A,24/07/2015 9:09,52,580576,8293343,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLR09A,24/07/2015 15:58,52,579386,8288388,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRK10A,6/09/2015 11:06,,131.88654,-13.81006,,,,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRK11A,6/09/2015 15:28,,131.97314,-13.82181,,,,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRK12A,7/09/2015,,131.89485,-13.86372,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRK13A,,,131.94196,13.93165,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRK14A,9/09/2015,,131.85947,-14.01668,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFD15A,30/06/2015,,17.07892,131.71231,,,,0.25,7,Bohenia ,2,0,E. victrix,7,2,Erythrophleum chlorostachys,5,2,Atalaya,1,0,,,,,,,,,,,,,,,,,,,,,,E. papuana,3,0,Grevillea ,5,2,E. chlorostachys,15,5,Atalaya,2,0,E. Pruinosa,1,0,,,,,,,,,,,,,,,,,,,Bohenia ,1,0,E. papuana,2,1,E. chlorostachys,3,0,,,,,,,,,,,,,,,,,,,,,,,,,E. papuana,7,0,E. Pruinosa,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Papuana,5,0,E. chlorostachys,2,0,Atalaya,5,0,Macropteranthes kekwickii,1,0,,,,,,,,,,,,,,,,,,,,,,Bohenia ,1,0,E. papuana,6,0,Grevillea ,3,0,E. chlorostachys,2,0,E. pruinosa,2,0,,,,,,,,,,,,,,,,,,,E. chlorostachys,2,4,Atalaya,5,0,E. pruinosa,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,CFD16A,1/07/2015 11:19,,17.08585,131.36263,,,,0.1,7,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica,3,0,Terminilia arostrata,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica,1,0,Terminilia arostrata,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminilia arostrata,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminilia arostrata,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFD17A,5/07/2015,,-17.20991,131.16316,,,,0.1,7,Corymbia terminalis,4,0,Terminalia arostrata,1,0,Bauhinia cunninghamii,17,0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia terminalis,1,0,Terminilia arostrata,3,0,Bauhinia cunninghamii,14,0,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata,3,0,Bauhinia cunninghamii,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia terminalis,4,0,Terminalia arostrata,1,0,Bauhinia cunninghamii,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia terminalis,1,0,Terminalia arostrata,3,0,Bauhinia cunninghamii,12,0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia terminalis,3,0,Terminalia arostrata,2,0,Bauhinia cunninghamii,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Corymbia terminalis,2,0,Terminalia arostrata,4,0,Bauhinia cunninghamii,12,0,,,,,,,,,,,,,,,,,,,,,,,,
,CFD18A,6/07/2015 9:08,,17.03351,131.19348,,,,0.1,7,Terminalia platyptera,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree1,5,0,Terminalia arostrata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CTC12A,19/05/2015 14:40,,S17.64951,E131.42497,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CTC13a,20/05/2015 10:09,,17.37362,131.4491,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tree1 104-0434,0435,0436",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tree1 104-0434,0435,0436",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia arostrata 104-0437 0440,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tree1 104-0434,0435,0436",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CTC14A,21/05/2015 8:09,,17.39187,131.63791,,,,0.1,7,E. dichromophloia 104-0460 ,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. dichromophloia 104-0460 ,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. dichromophloia 104-0460,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. dichromophloia 104-0460,461,462",9,0,Terminalia canescens,1,0,Hakea,2,11,,,,,,,,,,,,,,,,,,,,,,,,,E. dichromophloia 104-0460,1,0,,,,Hakea,4,3,,,,,,,,,,,,,,,,,,,,,,,,,E. dichromophloia 104-0460,9,1,Hakea,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. dichromophloia 104-0460,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DWL07A,19/10/2015 14:07,53,134.077641,-24.44969258,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DWL08A,19/10/2015 17:13,53,134.1773501,-24.47320341,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DWL09A,20/10/2015 13:39,53,134.1718742,-24.25940017,,,,0.1,7,Acacia aneura,1,0,Ironwood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,3,0,Ironwood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,2,0,Ironwood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia kempeana,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia aneura,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DWL10A,20/10/2015 15:54,53,134.2401809,-24.22352878,,,,0.1,7,Acacia kempeana,10,0,Acacia victoriae,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,0,3,Acacia aneura,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia kempeana,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia kempeana,6,0,Ironwood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia kempeana,1,1,Ironwood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DWL11A,21/10/2015 7:46,53,134.1692782,-24.06247222,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DWL12A,21/10/2015 10:33,53,134.1654429,-23.98222838,,,,0.1,7,Hakea divaricata,0,0,Ironwood,1,0,Senna artemisioides subsp. filifolia,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Capparis,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakea divericata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakea divericata,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DWL13A,21/10/2015 13:56,53,134.2469282,-24.03759718,,,,0.1,7,Ironwood,0,1,Acacia victoriae,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,2,1,Acacia victoriae,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironwood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Epn,1/06/2015 12:19,53,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Epn08,31/05/2015 8:53,53,,,,,,0.1,7,E. coolabah,3,0,Acacia coriacea ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Coolabah,8,0,Acacia coriacea ,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolabah,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,4,0,Acacia coriacea ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Coolabah,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
