species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94
P. pubescens,1.0,0.0,0.4132231404958678,0.0,0.3968253968253968,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
P. spiralis,48.0,4.0,19.834710743801654,40.0,20.634920634920633,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
Syzygium suborbiculare,8.0,0.0,3.3057851239669422,0.0,3.1746031746031744,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
Eucalyptus alba,12.0,0.0,8.333333333333332,0.0,7.142857142857142,girra02,6,20120605,0.1,7,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543
Lophostemon lactifluus,20.0,4.0,13.88888888888889,16.666666666666664,14.285714285714285,girra02,6,20120605,0.1,7,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543
Melaleuca nervoa,93.0,19.0,64.58333333333334,79.16666666666666,66.66666666666666,girra02,6,20120605,0.1,7,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543
P. spiralis,19.0,1.0,13.194444444444445,4.166666666666666,11.904761904761903,girra02,6,20120605,0.1,7,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543
Acacia latesens,6.0,2.0,4.411764705882353,15.384615384615385,5.369127516778524,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Buchanania obovata,2.0,0.0,1.4705882352941175,0.0,1.342281879194631,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Corymbia ferruginea,4.0,1.0,2.941176470588235,7.6923076923076925,3.3557046979865772,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Corymbia sp.,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Denhmai obscura,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
E. chlorostachys,2.0,2.0,1.4705882352941175,15.384615384615385,2.684563758389262,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
E. miniata,75.0,6.0,55.14705882352941,46.15384615384615,54.36241610738255,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
E. tetrodonta,37.0,2.0,27.205882352941174,15.384615384615385,26.174496644295303,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Eucalyptus sp.,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Exacarpos latafolia,5.0,0.0,3.6764705882352944,0.0,3.3557046979865772,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Owinea sp.,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Terminalia carpentariae,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
Corymbia sp.,21.0,0.0,12.883435582822086,0.0,12.804878048780488,jdr01,105,20120522,0.75,7,POINT (131.5996997759004 -13.88378624750307),131.59969977590038,-13.883786247503068
E. miniata,142.0,1.0,87.11656441717791,100.0,87.1951219512195,jdr01,105,20120522,0.75,7,POINT (131.5996997759004 -13.88378624750307),131.59969977590038,-13.883786247503068
Corymbia sp.,42.0,0.0,21.875,0.0,21.0,jdr02,106,20120523,0.5,7,POINT (131.600245706593 -13.85726623878167),131.60024570659297,-13.857266238781667
E. tetrodonta,150.0,8.0,78.125,100.0,79.0,jdr02,106,20120523,0.5,7,POINT (131.600245706593 -13.85726623878167),131.60024570659297,-13.857266238781667
Syzygium sp.,236.0,6.0,100.0,100.0,100.0,jdr03,107,20120523,0.25,7,POINT (131.5679093748641 -13.84688438272733),131.5679093748641,-13.846884382727328
species 1,73.0,2.0,92.40506329113924,100.0,92.5925925925926,jdr04,108,20120523,0.25,7,POINT (131.5977290340626 -13.97466897171563),131.5977290340626,-13.974668971715626
species 2,6.0,0.0,7.59493670886076,0.0,7.4074074074074066,jdr04,108,20120523,0.25,7,POINT (131.5977290340626 -13.97466897171563),131.5977290340626,-13.974668971715626
Atalaya hemiglauca,10.0,0.0,4.464285714285714,0.0,4.329004329004329,auv01,110,20121009,0.1,7,POINT (130.0932646273001 -15.58078095588989),130.09326462730013,-15.580780955889887
Eucalyptus microtheca,22.0,0.0,9.821428571428571,0.0,9.523809523809524,auv01,110,20121009,0.1,7,POINT (130.0932646273001 -15.58078095588989),130.09326462730013,-15.580780955889887
Lysiphyllum cunninghamii,161.0,4.0,71.875,57.14285714285714,71.42857142857143,auv01,110,20121009,0.1,7,POINT (130.0932646273001 -15.58078095588989),130.09326462730013,-15.580780955889887
Terminalia volucris,31.0,3.0,13.839285714285715,42.857142857142854,14.71861471861472,auv01,110,20121009,0.1,7,POINT (130.0932646273001 -15.58078095588989),130.09326462730013,-15.580780955889887
Acacia sp.,1.0,0.0,0.625,0.0,0.5988023952095809,auv02,111,20121010,0.1,7,POINT (130.0300394091591 -15.67690430418792),130.0300394091591,-15.67690430418792
Brachychiton diversifolius,10.0,0.0,6.25,0.0,5.9880239520958085,auv02,111,20121010,0.1,7,POINT (130.0300394091591 -15.67690430418792),130.0300394091591,-15.67690430418792
