site_name,visit_date,latitude,longitude,species,ba_m2ha,uid,datum,geometry,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots
NTAGFU0011,20120510,-17.89571,137.0724,Hakea arborescens,0.1,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0011,20120510,-17.89571,137.0724,Terminalia canescens,0.21,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,19.529999999999998,20.37,79.59,258.93,196.35,338.52,554.4,113.82
NTAGFU0012,20120511,-17.89564,137.019,Eucalyptus leucophloia,1.38888888888889,17,gda94,POINT (137.019 -17.89564),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,129.16666666666677,134.7222222222223,526.3888888888893,1712.5000000000014,1298.611111111112,2238.8888888888905,3666.6666666666692,752.7777777777784
NTAGFU0013,20120512,-17.89591,137.0116,Eucalyptus chlorophylla,0.3,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,27.9,29.099999999999998,113.7,369.9,280.5,483.59999999999997,792.0,162.6
NTAGFU0013,20120512,-17.89591,137.0116,Eucalyptus leucophloia,0.1,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0013,20120512,-17.89591,137.0116,Grevillea striata,0.2,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
NTAGFU0013,20120512,-17.89591,137.0116,Melaleuca stenostachya,1.12222222222222,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,104.36666666666646,108.85555555555534,425.3222222222214,1383.6999999999973,1049.2777777777758,1809.0222222222187,2962.6666666666606,608.2444444444433
NTAGFU0013,20120512,-17.89591,137.0116,Terminalia volucris,0.1,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0014,20120514,-17.75179,136.9389,Eucalyptus microtheca,0.9,19,gda94,POINT (136.9389 -17.75179),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,83.7,87.3,341.1,1109.7,841.5,1450.8,2376.0,487.8
NTAGFU0014,20120514,-17.75179,136.9389,Melaleuca viridiflora,0.833333333333333,19,gda94,POINT (136.9389 -17.75179),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,77.49999999999997,80.8333333333333,315.8333333333332,1027.4999999999995,779.1666666666664,1343.3333333333328,2199.999999999999,451.6666666666665
