site_name,visit_date,latitude,longitude,species,ba_m2ha,uid,datum,geometry,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
NTAGFU0027,20120613,-15.67927,135.4606,Acacia hammondii,0.166666666666667,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,15.50000000000003,16.1666666666667,63.16666666666679,205.5000000000004,155.83333333333363,268.6666666666672,440.00000000000085,90.33333333333351,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Corymbia dichromophloia,0.2,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Corymbia ferruginea,0.483333333333333,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,44.94999999999997,46.883333333333304,183.1833333333332,595.9499999999996,451.91666666666634,779.1333333333328,1275.999999999999,261.96666666666647,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Dolichandrone heterophylla,0.25,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,23.25,24.25,94.75,308.25,233.75,403.0,660.0,135.5,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Erythrophleum chlorostachys,0.2,32,gda94,POINT (135.4606 -15.67927),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,30.8,32.0,80.2,208.8,162.8,289.0,482.6,108.4,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Eucalyptus phoenicea,0.35,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,32.55,33.949999999999996,132.65,431.54999999999995,327.25,564.1999999999999,923.9999999999999,189.7,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Hakea arborescens,0.9,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,83.7,87.3,341.1,1109.7,841.5,1450.8,2376.0,487.8,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Melaleuca viridiflora,0.5,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,46.5,48.5,189.5,616.5,467.5,806.0,1320.0,271.0,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Petalostigma banksii,0.2,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
NTAGFU0027,20120613,-15.67927,135.4606,Petalostigma pubescens,1.0,32,gda94,POINT (135.4606 -15.67927),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,93.0,97.0,379.0,1233.0,935.0,1612.0,2640.0,542.0,210.73389999999998,229.08969999999997,873.1359,2815.0353,2136.8655,3688.1711999999993,1245.5701999999997,6044.738,448.37,467.5299999999999,1781.91,5744.97,4360.95,7526.879999999999,2541.9799999999996,12336.2
