uid,site,date_er,date,zone,easting,northing,lattitude,longitude,datum,factor,count,height_o,height_g,Discription,issues,species,sp_l,sp_d
40,LD7_2_2,7/11/2000,,52,700695,8555505,,,AGD66,0.5,3,,,,,dead,0,5
41,LD7_1_2,7/11/2000,,52,700781,8555526,,,AGD66,0.5,3,,,,,E. miniata,29,0
41,LD7_1_2,7/11/2000,,52,700781,8555526,,,AGD66,0.5,3,,,,,E. tetrodonta,18,0
41,LD7_1_2,7/11/2000,,52,700781,8555526,,,AGD66,0.5,3,,,,,E. chlorostachys,7,0
41,LD7_1_2,7/11/2000,,52,700781,8555526,,,AGD66,0.5,3,,,,,dead,0,5
42,LD6_2_2,7/11/2000,,52,683290,8538281,,,AGD66,0.5,3,,,,,Grevillea pteridifolia,24,0
42,LD6_2_2,7/11/2000,,52,683290,8538281,,,AGD66,0.5,3,,,,,E. chlorostachys,6,0
42,LD6_2_2,7/11/2000,,52,683290,8538281,,,AGD66,0.5,3,,,,,dead,0,5
43,LD6_1_2,7/11/2000,,52,683176,8538365,,,AGD66,0.5,3,,,,,Grevillea pteridifolia,22,0
43,LD6_1_2,7/11/2000,,52,683176,8538365,,,AGD66,0.5,3,,,,,E. chlorostachys,13,0
43,LD6_1_2,7/11/2000,,52,683176,8538365,,,AGD66,0.5,3,,,,,dead,0,4
43,LD6_1_2,7/11/2000,,52,683176,8538365,,,AGD66,0.5,3,,,,,others,5,0
44,LD5_1_1,7/10/2000,,52,680078,8545659,,,AGD66,0.5,3,,,,,E. miniata,14,0
44,LD5_1_1,7/10/2000,,52,680078,8545659,,,AGD66,0.5,3,,,,,E. chlorostachys,2,0
44,LD5_1_1,7/10/2000,,52,680078,8545659,,,AGD66,0.5,3,,,,,Eucalyptus sp.,6,0
44,LD5_1_1,7/10/2000,,52,680078,8545659,,,AGD66,0.5,3,,,,,dead,0,6
44,LD5_1_1,7/10/2000,,52,680078,8545659,,,AGD66,0.5,3,,,,,Corymbia polysciada,12,0
45,LD4_1_1,7/10/2000,,52,677966,8549561,,,AGD66,0.5,3,,,,,Eucalyptus sp.,16,0
45,LD4_1_1,7/10/2000,,52,677966,8549561,,,AGD66,0.5,3,,,,,E. chlorostachys,13,0
45,LD4_1_1,7/10/2000,,52,677966,8549561,,,AGD66,0.5,3,,,,,dead,0,3
45,LD4_1_1,7/10/2000,,52,677966,8549561,,,AGD66,0.5,3,,,,,E. miniata,4,0
45,LD4_1_1,7/10/2000,,52,677966,8549561,,,AGD66,0.5,3,,,,,Corymbia polysciada,4,0
46,LD3_1_1,7/10/2000,,52,679153,8550102,,,AGD66,0.5,3,,,,,Lophostemon lactifluus,19,0
46,LD3_1_1,7/10/2000,,52,679153,8550102,,,AGD66,0.5,3,,,,,E. chlorostachys,12,0
46,LD3_1_1,7/10/2000,,52,679153,8550102,,,AGD66,0.5,3,,,,,Eucalyptus sp.,4,0
46,LD3_1_1,7/10/2000,,52,679153,8550102,,,AGD66,0.5,3,,,,,dead,0,4
46,LD3_1_1,7/10/2000,,52,679153,8550102,,,AGD66,0.5,3,,,,,Acacia latesens,6,0
46,LD3_1_1,7/10/2000,,52,679153,8550102,,,AGD66,0.5,3,,,,,E. miniata,6,0
46,LD3_1_1,7/10/2000,,52,679153,8550102,,,AGD66,0.5,3,,,,,Terminalia grandiflora,3,0
47,LD2_1_1,6/29/2000,,52,715201,8593421,,,AGD66,0.5,4,,,,,Eucalyptus tectifica,50,0
47,LD2_1_1,6/29/2000,,52,715201,8593421,,,AGD66,0.5,4,,,,,E. chlorostachys,20,0
47,LD2_1_1,6/29/2000,,52,715201,8593421,,,AGD66,0.5,4,,,,,E. miniata,7,0
47,LD2_1_1,6/29/2000,,52,715201,8593421,,,AGD66,0.5,4,,,,,dead,0,13
47,LD2_1_1,6/29/2000,,52,715201,8593421,,,AGD66,0.5,4,,,,,P. pubescens,5,0
48,LD2_2_1,6/29/2000,,52,716671,8594264,,,AGD66,0.25,3,,,,,E. miniata,13,0
48,LD2_2_1,6/29/2000,,52,716671,8594264,,,AGD66,0.25,3,,,,,E. chlorostachys,26,0
48,LD2_2_1,6/29/2000,,52,716671,8594264,,,AGD66,0.25,3,,,,,Acacia auriculiformis,29,0
48,LD2_2_1,6/29/2000,,52,716671,8594264,,,AGD66,0.25,3,,,,,dead,0,6
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,0.5,4,,,,,E. miniata,18,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,0.5,4,,,,,E. tetrodonta,3,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,0.5,4,,,,,Pandanus species,1,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,0.5,4,,,,,E. chlorostachys,1,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,0.75,4,,,,,E. tetrodonta,3,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,0.75,4,,,,,E. miniata,8,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,0.75,4,,,,,E. chlorostachys,4,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,1,4,,,,,E. miniata,3,0
49,LD1_1_1,6/23/2000,,52,719622,8618074,,,AGD66,1,4,,,,,E. tetrodonta,3,0
49,LD1_1_1,6/24/2000,,52,719622,8618074,,,AGD66,1,4,,,,,E. chlorostachys,1,0
50,GB1_1_1,9/7/2000,,52,683895,8552665,,,AGD66,0.25,3,,,,,E. tetrodonta,26,0
50,GB1_1_1,9/7/2000,,52,683895,8552665,,,AGD66,0.25,3,,,,,others,33,0
50,GB1_1_1,9/7/2000,,52,683895,8552665,,,AGD66,0.25,3,,,,,dead,0,34
50,GB1_1_1,9/7/2000,,52,683895,8552665,,,AGD66,0.25,3,,,,,E. miniata,13,0
50,GB1_1_1,9/7/2000,,52,683895,8552665,,,AGD66,0.25,3,,,,,E. chlorostachys,1,0
62,MK4_1_1,7/28/2000,,52,824005,8488618,,,AGD66,0.5,3,,,,,E. tetrodonta,30,0
62,MK4_1_1,7/28/2000,,52,824005,8488618,,,AGD66,0.5,3,,,,,E. miniata,2,0
62,MK4_1_1,7/28/2000,,52,824005,8488618,,,AGD66,0.5,3,,,,,others,11,0
62,MK4_1_1,7/28/2000,,52,824005,8488618,,,AGD66,0.5,3,,,,,dead,0,4
63,MK4_2_2,7/28/2000,,52,824061,8488560,,,AGD66,0.5,3,,,,,E. tetrodonta,36,0
63,MK4_2_2,7/28/2000,,52,824061,8488560,,,AGD66,0.5,3,,,,,E. miniata,9,0
63,MK4_2_2,7/28/2000,,52,824061,8488560,,,AGD66,0.5,3,,,,,others,12,0
63,MK4_2_2,7/28/2000,,52,824061,8488560,,,AGD66,0.5,3,,,,,dead,0,7
68,MK6_1_2,7/29/2000,,52,789710,8455878,,,AGD66,0.25,3,,,,,E. miniata,25,0
68,MK6_1_2,7/29/2000,,52,789710,8455878,,,AGD66,0.25,3,,,,,E. tetrodonta,9,0
68,MK6_1_2,7/29/2000,,52,789710,8455878,,,AGD66,0.25,3,,,,,others,30,0
68,MK6_1_2,7/29/2000,,52,789710,8455878,,,AGD66,0.25,3,,,,,dead,0,15
69,MK6_2_2,7/29/2000,,52,789848,8456004,,,AGD66,0.25,3,,,,,E. miniata,55,0
69,MK6_2_2,7/29/2000,,52,789848,8456004,,,AGD66,0.25,3,,,,,E. tetrodonta,12,0
69,MK6_2_2,7/29/2000,,52,789848,8456004,,,AGD66,0.25,3,,,,,Eucalyptus sp.,2,0
69,MK6_2_2,7/29/2000,,52,789848,8456004,,,AGD66,0.25,3,,,,,others,16,0
69,MK6_2_2,7/29/2000,,52,789848,8456004,,,AGD66,0.25,3,,,,,dead,0,7
70,MK1_1_1,7/25/2000,,52,812750,8574627,,,AGD66,0.75,3,,,,,E. tetrodonta,5,0
70,MK1_1_1,7/25/2000,,52,812750,8574627,,,AGD66,0.75,3,,,,,E. miniata,8,0
70,MK1_1_1,7/25/2000,,52,812750,8574627,,,AGD66,0.75,3,,,,,dead,0,3
70,MK1_1_1,7/25/2000,,52,812750,8574627,,,AGD66,0.5,3,,,,,E. miniata,32,0
70,MK1_1_1,7/25/2000,,52,812750,8574627,,,AGD66,0.5,3,,,,,E. tetrodonta,9,0
70,MK1_1_1,7/25/2000,,52,812750,8574627,,,AGD66,0.5,3,,,,,dead,0,3
82,MK5_1_2,7/28/2000,,52,809306,8471978,,,AGD66,0.5,3,,,,,E. tetrodonta,42,0
82,MK5_1_2,7/28/2000,,52,809306,8471978,,,AGD66,0.5,3,,,,,E. miniata,16,0
82,MK5_1_2,7/28/2000,,52,809306,8471978,,,AGD66,0.5,3,,,,,others,15,0
82,MK5_1_2,7/28/2000,,52,809306,8471978,,,AGD66,0.5,3,,,,,dead,0,6
82,MK5_1_2,7/28/2000,,52,809306,8471978,,,AGD66,0.5,3,,,,,Eucalyptus sp.,5,0
83,MK5_2_2,7/28/2000,,52,809415,8472002,,,AGD66,0.5,3,,,,,E. tetrodonta,31,0
83,MK5_2_2,7/28/2000,,52,809415,8472002,,,AGD66,0.5,3,,,,,Eucalyptus sp.,10,0
83,MK5_2_2,7/28/2000,,52,809415,8472002,,,AGD66,0.5,3,,,,,others,14,0
83,MK5_2_2,7/28/2000,,52,809415,8472002,,,AGD66,0.5,3,,,,,dead,0,3
83,MK5_2_2,7/28/2000,,52,809415,8472002,,,AGD66,0.5,3,,,,,E. miniata,30,0
84,MK7_2_2,7/30/2000,,52,819782,8443928,,,AGD66,0.25,3,,,,,Eucalyptus sp.,69,0
84,MK7_2_2,7/30/2000,,52,819782,8443928,,,AGD66,0.25,3,,,,,others,42,0
84,MK7_2_2,7/30/2000,,52,819782,8443928,,,AGD66,0.25,3,,,,,dead,0,11
85,MK7_1_1,7/30/2000,,52,819786,8443857,,,AGD66,0.25,3,,,,,Eucalyptus sp.,69,0
85,MK7_1_1,7/30/2000,,52,819786,8443857,,,AGD66,0.25,3,,,,,E. chlorostachys,11,0
85,MK7_1_1,7/30/2000,,52,819786,8443857,,,AGD66,0.25,3,,,,,others,31,0
85,MK7_1_1,7/30/2000,,52,819786,8443857,,,AGD66,0.25,3,,,,,dead,0,12
86,MK14_2_2,8/3/2000,,52,816375,8353641,,,AGD66,0.25,3,,,,,E. miniata,36,0
86,MK14_2_2,8/3/2000,,52,816375,8353641,,,AGD66,0.25,3,,,,,E. tetrodonta,11,0
86,MK14_2_2,8/3/2000,,52,816375,8353641,,,AGD66,0.25,3,,,,,others,67,0
86,MK14_2_2,8/3/2000,,52,816375,8353641,,,AGD66,0.25,3,,,,,dead,0,8
86,MK14_2_2,8/3/2000,,52,816375,8353641,,,AGD66,0.25,3,,,,,Eucalyptus sp.,6,0
87,MK14_1_2,8/3/2000,,52,816370,8353520,,,AGD66,0.25,3,,,,,E. tetrodonta,28,0
87,MK14_1_2,8/3/2000,,52,816370,8353520,,,AGD66,0.25,3,,,,,E. miniata,19,0
87,MK14_1_2,8/3/2000,,52,816370,8353520,,,AGD66,0.25,3,,,,,E. chlorostachys,4,0
87,MK14_1_2,8/3/2000,,52,816370,8353520,,,AGD66,0.25,3,,,,,others,69,0
87,MK14_1_2,8/3/2000,,52,816370,8353520,,,AGD66,0.25,3,,,,,dead,0,4
87,MK14_1_2,8/3/2000,,52,816370,8353520,,,AGD66,0.25,3,,,,,Eucalyptus terminalis,3,0
88,DD1_2_2,9/11/2000,,52,796575,8431815,,,AGD66,0.5,3,,,,,E. tetrodonta,34,0
88,DD1_2_2,9/11/2000,,52,796575,8431815,,,AGD66,0.5,3,,,,,Eucalyptus patellaris,46,0
88,DD1_2_2,9/11/2000,,52,796575,8431815,,,AGD66,0.5,3,,,,,Corymbia foelscheana,3,0
88,DD1_2_2,9/11/2000,,52,796575,8431815,,,AGD66,0.5,3,,,,,others,11,0
88,DD1_2_2,9/11/2000,,52,796575,8431815,,,AGD66,0.5,3,,,,,Corymbia latifolia,6,0
88,DD1_2_2,9/11/2000,,52,796575,8431815,,,AGD66,0.5,3,,,,,dead,0,6
89,DD1_1_2,9/11/2000,,52,796614,8431906,,,AGD66,0.5,3,,,,,E. tetrodonta,39,0
89,DD1_1_2,9/11/2000,,52,796614,8431906,,,AGD66,0.5,3,,,,,Corymbia foelscheana,12,0
89,DD1_1_2,9/11/2000,,52,796614,8431906,,,AGD66,0.5,3,,,,,Eucalyptus patellaris,28,0
89,DD1_1_2,9/11/2000,,52,796614,8431906,,,AGD66,0.5,3,,,,,others,7,0
89,DD1_1_2,9/11/2000,,52,796614,8431906,,,AGD66,0.5,3,,,,,dead,0,5
90,DD2_2_2,9/12/2000,,52,724751,8370561,,,AGD66,0.5,3,,,,,E. tetrodonta,11,0
90,DD2_2_2,9/12/2000,,52,724751,8370561,,,AGD66,0.5,3,,,,,Corymbia dichromphloia,44,0
90,DD2_2_2,9/12/2000,,52,724751,8370561,,,AGD66,0.5,3,,,,,Corymbia latifolia,13,0
90,DD2_2_2,9/12/2000,,52,724751,8370561,,,AGD66,0.5,3,,,,,others,43,0
90,DD2_2_2,9/12/2000,,52,724751,8370561,,,AGD66,0.5,3,,,,,dead,0,10
90,DD2_2_2,9/12/2000,,52,724751,8370561,,,AGD66,0.5,3,,,,,E. miniata,13,0
91,DD2_1_2,9/12/2000,,52,724754,8370637,,,AGD66,0.5,3,,,,,E. tetrodonta,28,0
91,DD2_1_2,9/12/2000,,52,724754,8370637,,,AGD66,0.5,3,,,,,E. miniata,9,0
91,DD2_1_3,9/13/2000,,52,724754,8370637,,,AGD66,0.5,3,,,,,Corymbia dichromphloia,48,0
91,DD2_1_4,9/14/2000,,52,724754,8370637,,,AGD66,0.5,3,,,,,others,29,0
91,DD2_1_5,9/15/2000,,52,724754,8370637,,,AGD66,0.5,3,,,,,dead,0,13
92,DD3_2_2,9/12/2000,,52,762905,8400720,,,AGD66,0.5,3,,,,,Corymbia foelscheana,27,0
92,DD3_2_2,9/12/2000,,52,762905,8400720,,,AGD66,0.5,3,,,,,Eucalyptus patellaris,41,0
92,DD3_2_2,9/12/2000,,52,762905,8400720,,,AGD66,0.5,3,,,,,E. chlorostachys,33,0
92,DD3_2_2,9/12/2000,,52,762905,8400720,,,AGD66,0.5,3,,,,,others,20,0
92,DD3_2_2,9/12/2000,,52,762905,8400720,,,AGD66,0.5,3,,,,,dead,0,10
93,DD3_1_2,9/12/2000,,52,762964,8400641,,,AGD66,0.5,3,,,,,Eucalyptus patellaris,65,0
93,DD3_1_2,9/12/2000,,52,762964,8400641,,,AGD66,0.5,3,,,,,Corymbia foelscheana,54,0
93,DD3_1_2,9/12/2000,,52,762964,8400641,,,AGD66,0.5,3,,,,,E. chlorostachys,20,0
93,DD3_1_2,9/12/2000,,52,762964,8400641,,,AGD66,0.5,3,,,,,others,11,0
93,DD3_1_2,9/12/2000,,52,762964,8400641,,,AGD66,0.5,3,,,,,dead,0,10
94,DD4_2_2,9/13/2000,,52,755586,8491589,,,AGD66,0.5,3,,,,,Corymbia foelscheana,39,0
94,DD4_2_2,9/13/2000,,52,755586,8491589,,,AGD66,0.5,3,,,,,Corymbia polysciada,36,0
94,DD4_2_2,9/13/2000,,52,755586,8491589,,,AGD66,0.5,3,,,,,others,42,0
94,DD4_2_2,9/13/2000,,52,755586,8491589,,,AGD66,0.5,3,,,,,P. careya,9,0
95,DD4_1_2,9/13/2000,,52,755492,8491512,,,AGD66,0.5,3,,,,,E. miniata,8,0
95,DD4_1_2,9/13/2000,,52,755492,8491512,,,AGD66,0.5,3,,,,,Corymbia polysciada,22,0
95,DD4_1_2,9/13/2000,,52,755492,8491512,,,AGD66,0.5,3,,,,,Corymbia foelscheana,12,0
95,DD4_1_2,9/13/2000,,52,755492,8491512,,,AGD66,0.5,3,,,,,others,6,0
95,DD4_1_2,9/13/2000,,52,755492,8491512,,,AGD66,0.5,3,,,,,dead,0,1
96,DD5_2_2,9/13/2000,,52,749447,8468363,,,AGD66,0.5,3,,,,,E. tetrodonta,23,0
96,DD5_2_2,9/13/2000,,52,749447,8468363,,,AGD66,0.5,3,,,,,E. chlorostachys,28,0
96,DD5_2_2,9/13/2000,,52,749447,8468363,,,AGD66,0.5,3,,,,,Corymbia polysciada,22,0
96,DD5_2_2,9/13/2000,,52,749447,8468363,,,AGD66,0.5,3,,,,,others,40,0
96,DD5_2_2,9/13/2000,,52,749447,8468363,,,AGD66,0.5,3,,,,,dead,0,14
96,DD5_2_2,9/13/2000,,52,749447,8468363,,,AGD66,0.5,3,,,,,Corymbia polycarpa,13,0
97,DD5_1_2,9/13/2000,,52,749185,8468373,,,AGD66,0.5,3,,,,,E. tetrodonta,9,0
97,DD5_1_2,9/13/2000,,52,749185,8468373,,,AGD66,0.5,3,,,,,Corymbia polysciada,39,0
97,DD5_1_2,9/13/2000,,52,749185,8468373,,,AGD66,0.5,3,,,,,Corymbia polycarpa,13,0
97,DD5_1_2,9/13/2000,,52,749185,8468373,,,AGD66,0.5,3,,,,,others,28,0
97,DD5_1_2,9/13/2000,,52,749185,8468373,,,AGD66,0.5,3,,,,,dead,0,13
97,DD5_1_2,9/13/2000,,52,749185,8468373,,,AGD66,0.5,3,,,,,E. chlorostachys,47,0
98,DD6_2_2,9/14/2000,,52,662129,8465743,,,AGD66,0.75,3,,,,,Corymbia grandifolia,23,0
98,DD6_2_2,9/14/2000,,52,662129,8465743,,,AGD66,0.75,3,,,,,E. chlorostachys,19,0
98,DD6_2_2,9/14/2000,,52,662129,8465743,,,AGD66,0.75,3,,,,,others,81,0
98,DD6_2_2,9/14/2000,,52,662129,8465743,,,AGD66,0.75,3,,,,,dead,0,6
98,DD6_2_2,9/14/2000,,52,662129,8465743,,,AGD66,0.75,3,,,,,Corymbia latifolia,1,0
99,DD6_1_2,9/14/2000,,52,662083,8465663,,,AGD66,0.75,3,,,,,Corymbia grandifolia,25,0
99,DD6_1_2,9/14/2000,,52,662083,8465663,,,AGD66,0.75,3,,,,,E. chlorostachys,31,0
99,DD6_1_2,9/14/2000,,52,662083,8465663,,,AGD66,0.75,3,,,,,others,81,
99,DD6_1_2,9/14/2000,,52,662083,8465663,,,AGD66,0.75,3,,,,,dead,0,8
100,DD7_2_2,9/14/2000,,52,632621,8436751,,,AGD66,0.5,3,,,,,Corymbia latifolia,55,0
100,DD7_2_2,9/14/2000,,52,632621,8436751,,,AGD66,0.5,3,,,,,others,12,0
100,DD7_2_2,9/14/2000,,52,632621,8436751,,,AGD66,0.5,3,,,,,dead,0,13
100,DD7_2_2,9/14/2000,,52,632621,8436751,,,AGD66,0.5,3,,,,,E. tetrodonta,2,0
100,DD7_2_2,9/14/2000,,52,632621,8436751,,,AGD66,0.5,3,,,,,E. chlorostachys,19,0
101,DD7_1_2,9/14/2000,,52,632554,8436766,,,AGD66,0.5,3,,,,,Corymbia latifolia,36,
101,DD7_1_2,9/14/2000,,52,632554,8436766,,,AGD66,0.5,3,,,,,others,27,0
101,DD7_1_2,9/14/2000,,52,632554,8436766,,,AGD66,0.5,3,,,,,dead,0,11
101,DD7_1_2,9/14/2000,,52,632554,8436766,,,AGD66,0.5,3,,,,,Eucalyptus sp.,20,0
169,GRE1_1_1,8/22/2000,,52,787275,8333170,,,AGD66,0.25,3,,,,,E. chlorostachys,8,0
169,GRE1_1_1,8/22/2000,,52,787275,8333170,,,AGD66,0.25,3,,,,,Corymbia dichromphloia,26,0
169,GRE1_1_1,8/22/2000,,52,787275,8333170,,,AGD66,0.25,3,,,,,E. tetrodonta,11,0
169,GRE1_1_1,8/22/2000,,52,787275,8333170,,,AGD66,0.25,3,,,,,others,23,0
169,GRE1_1_1,8/22/2000,,52,787275,8333170,,,AGD66,0.25,3,,,,,dead,0,14
170,GRE2_2_2,8/24/2000,,52,639000,8245150,,,AGD66,0.25,3,,,,,Eucalyptus tectifica,29,0
170,GRE2_2_2,8/24/2000,,52,639000,8245150,,,AGD66,0.25,3,,,,,others,9,0
170,GRE2_2_2,8/24/2000,,52,639000,8245150,,,AGD66,0.25,3,,,,,dead,0,6
170,GRE2_2_2,8/24/2000,,52,639000,8245150,,,AGD66,0.25,3,,,,,Corymbia terminalis,24,0
170,GRE2_2_2,8/24/2000,,52,639000,8245150,,,AGD66,0.25,3,,,,,Terminalia platyptera,10,0
171,GRE2_1_2,8/24/2000,,52,639009,8245256,,,AGD66,0.25,3,,,,,Eucalyptus tectifica,37,0
171,GRE2_1_2,8/24/2000,,52,639009,8245256,,,AGD66,0.25,3,,,,,Corymbia terminalis,23,0
171,GRE2_1_2,8/24/2000,,52,639009,8245256,,,AGD66,0.25,3,,,,,others,23,0
171,GRE2_1_2,8/24/2000,,52,639009,8245256,,,AGD66,0.25,3,,,,,Corymbia confertiflora,2,0
172,GRE3_2_2,8/24/2000,,52,653846,8239292,,,AGD66,0.25,3,,,,,Eucalyptus tectifica,43,0
172,GRE3_2_2,8/24/2000,,52,653846,8239292,,,AGD66,0.25,3,,,,,Corymbia terminalis,27,0
172,GRE3_2_2,8/24/2000,,52,653846,8239292,,,AGD66,0.25,3,,,,,others,63,0
173,GRE3_1_2,8/24/2000,,52,653805,8239282,,,AGD66,0.25,3,,,,,Corymbia terminalis,10,0
173,GRE3_1_2,8/24/2000,,52,653805,8239282,,,AGD66,0.25,3,,,,,Eucalyptus tectifica,39,0
173,GRE3_1_2,8/24/2000,,52,653805,8239282,,,AGD66,0.25,3,,,,,Terminalia arostrata,7,0
173,GRE3_1_2,8/24/2000,,52,653805,8239282,,,AGD66,0.25,3,,,,,others,43,0
173,GRE3_1_2,8/24/2000,,52,653805,8239282,,,AGD66,0.25,3,,,,,dead,0,5
173,GRE3_1_2,8/24/2000,,52,653805,8239282,,,AGD66,0.25,3,,,,,Terminalia platyptera,6,0
174,GRE4_2_2,8/25/2000,,52,646003,8275252,,,AGD66,0.25,3,,,,,Melaleuca viridiflora,105,0
174,GRE4_2_2,8/25/2000,,52,646003,8275252,,,AGD66,0.25,3,,,,,others,11,0
174,GRE4_2_2,8/25/2000,,52,646003,8275252,,,AGD66,0.25,3,,,,,dead,0,10
175,GRE4_1_2,8/25/2000,,52,645905,8275249,,,AGD66,0.25,3,,,,,Melaleuca viridiflora,83,0
175,GRE4_1_2,8/25/2000,,52,645905,8275249,,,AGD66,0.25,3,,,,,others,12,0
